ASIN Code,Product Name,Category,Status,Amazon URL,Price (₹),MRP (₹),Discount %,Rating,Review Count,Stock Status,Seller,Brand,Source,Last Updated,Image URL
B09PDYXR4H,Kapiva Hair Care Juice for Hair Fall Control - 1L,Skin & Hair Care,✅ Scraped,https://www.amazon.in/dp/B09PDYXR4H,1452.0,1698.0,14.5,3.9,199.0,Out of Stock,Kapiva (Adret Retail Pvt. Ltd.),Kapiva,,2026-06-04T10:37:59.792747,https://m.media-amazon.com/images/I/41OR4kCoO6L._SY300_SX300_QL70_FMwebp_.jpg
B07DRB3D5Z,Kapiva Get Slim Juice Metabolism Booster - 1L,Weight Management,✅ Scraped,https://www.amazon.in/dp/B07DRB3D5Z,479.0,515.0,7.0,3.8,9746.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792672,https://m.media-amazon.com/images/I/41vrOfXn9nL._SY300_SX300_QL70_FMwebp_.jpg
B09MMH943Y,Kapiva Get Slim Juice Pack of 2 - 2L,Weight Management,✅ Scraped,https://www.amazon.in/dp/B09MMH943Y,978.0,1029.0,5.0,3.9,1114.0,Out of Stock,RK World Infocom Pvt Ltd,Kapiva,,2026-06-04T10:37:59.792734,https://m.media-amazon.com/images/I/51sAYD64-3L._SY300_SX300_QL70_FMwebp_.jpg
B07MZK19D9,Kapiva Dia Free Juice for Blood Sugar Management - 1L,Chronic Care,⏳ Not Found,https://www.amazon.in/dp/B07MZK19D9,,,,,,,,,,,
B09X7D93KJ,Kapiva Artho Sure Juice for Joint Pain - 1L,Chronic Care,⏳ Not Found,https://www.amazon.in/dp/B09X7D93KJ,,,,,,,,,,,
B09X7D93KJ,Kapiva Artho Sure Juice for Joint Pain - 1L,Chronic Care,⏳ Not Found,https://www.amazon.in/dp/B09X7D93KJ,,,,,,,,,,,
B0BN9K8F6X,Kapiva Liver Care Juice Fatty Liver Support Pack of 2 - 2L,Chronic Care,⏳ Not Found,https://www.amazon.in/dp/B0BN9K8F6X,,,,,,,,,,,
B0BN9K8F6X,Kapiva Liver Care Juice for Fatty Liver Management - 1L,Chronic Care,⏳ Not Found,https://www.amazon.in/dp/B0BN9K8F6X,,,,,,,,,,,
B0C3TABLET,Kapiva Madhunashini Vati Sugar Control Tablets - 30 Count,Chronic Care,⏳ Not Found,https://www.amazon.in/dp/B0C3TABLET,,,,,,,,,,,
B01M0A2K8H,Kapiva Thar Aloe Vera Juice with Pulp - 1L,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B01M0A2K8H,,,,,,,,,,,
B01N2H8WRX,Kapiva Wild Amla Juice Cold Pressed - 1L,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B01N2H8WRX,,,,,,,,,,,
B07DX1VJK8,Kapiva Wheatgrass Juice Liver Detox - 1L,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B07DX1VJK8,,,,,,,,,,,
B07H2M8PXY,Kapiva Triphala Juice for Constipation & Digestion - 1L,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B07H2M8PXY,,,,,,,,,,,
B0C27D8X92,Kapiva KSM-66 Ashwagandha Capsules - 60 Count,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B0C27D8X92,,,,,,,,,,,
B0C8COMBO1,Kapiva Wild Amla 1L + Thar Aloe Vera Juice 1L Combo Pack - 2L,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B0C8COMBO1,,,,,,,,,,,
B0C9TRIPH1,Kapiva Organic Triphala Powder Digestive Churna - 100g,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B0C9TRIPH1,,,,,,,,,,,
B0D1MORING,Kapiva Certified Organic Moringa Powder Pack of 2 - 400g,General Wellness,⏳ Not Found,https://www.amazon.in/dp/B0D1MORING,,,,,,,,,,,
B0936SIPS1,Kapiva Shilajit Energy Sips Stick - 30 Sachets,Men's Health & Stamina,⏳ Not Found,https://www.amazon.in/dp/B0936SIPS1,,,,,,,,,,,
B09H76K9L2,Kapiva Himalayan Shilajit Resin - 20g,Men's Health & Stamina,⏳ Not Found,https://www.amazon.in/dp/B09H76K9L2,,,,,,,,,,,
B09N39ZD5D,Kapiva Shilajit Energy Capsules - 60 Count,Men's Health & Stamina,⏳ Not Found,https://www.amazon.in/dp/B09N39ZD5D,,,,,,,,,,,
B0C27D8X92,Kapiva KSM-66 Ashwagandha Capsules - 60 Count,Men's Health & Stamina,⏳ Not Found,https://www.amazon.in/dp/B0C27D8X92,,,,,,,,,,,
B0C9R8B6X4,Kapiva Shilajit Gold Resin - 20g,Men's Health & Stamina,⏳ Not Found,https://www.amazon.in/dp/B0C9R8B6X4,,,,,,,,,,,
B0D5XYZ789,Kapiva Himalayan Shilajit Gummies Ginger Honey - 30 Count,Men's Health & Stamina,⏳ Not Found,https://www.amazon.in/dp/B0D5XYZ789,,,,,,,,,,,
B078N29M8F,Kapiva Organic Raw Honey NMR Tested - 500g,Nutrition & Organics,⏳ Not Found,https://www.amazon.in/dp/B078N29M8F,,,,,,,,,,,
B07K6P7HFD,Kapiva Certified A2 Gir Cow Ghee - 500ml,Nutrition & Organics,⏳ Not Found,https://www.amazon.in/dp/B07K6P7HFD,,,,,,,,,,,
B083P4JMX1,Kapiva Virgin Cold-Pressed Coconut Oil Kerala-Sourced - 500ml,Nutrition & Organics,⏳ Not Found,https://www.amazon.in/dp/B083P4JMX1,,,,,,,,,,,
B0C4GULKAN,Kapiva Organic Damask Rose Gulkand Petal Preserve - 400g,Nutrition & Organics,⏳ Not Found,https://www.amazon.in/dp/B0C4GULKAN,,,,,,,,,,,
B0C3WHEYPRO,Kapiva Testofuel Shilajit Whey Protein Belgian Chocolate - 1kg,Nutrition & Protein,⏳ Not Found,https://www.amazon.in/dp/B0C3WHEYPRO,,,,,,,,,,,
B08GH8S9P2,Kapiva Pure Aloe Vera Skin Gel Hydrating Moisturizer - 500g,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B08GH8S9P2,,,,,,,,,,,
B09V7N4WDF,Kapiva Hair Care Juice for Hair Fall Control - 1L,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B09V7N4WDF,,,,,,,,,,,
B0BMG9DJF2,Kapiva Kumkumadi Glow Face Wash - 100ml,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B0BMG9DJF2,,,,,,,,,,,
B0BMG9DJF2,Kapiva Kumkumadi Glow Face Wash - 100ml,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B0BMG9DJF2,,,,,,,,,,,
B0C462D6W8,Kapiva Skin Foods Glow Mix Skincare Supplement - 30 Sachets,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B0C462D6W8,,,,,,,,,,,
B0C46FIZZX,Kapiva Acne Ease Fizz Blood Purifier Tablets - 20 Count,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B0C46FIZZX,,,,,,,,,,,
B0C5ROSEW1,Kapiva Organic Rose Water Gulab Jal Spray Face Mist - 200ml,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B0C5ROSEW1,,,,,,,,,,,
B0C6MULTAN,Kapiva Multani Mitti with Kesar Face Pack - 100g,Skin & Hair Care,⏳ Not Found,https://www.amazon.in/dp/B0C6MULTAN,,,,,,,,,,,
B07F1B5G82,Kapiva Get Slim Juice - 1L,Weight Management,⏳ Not Found,https://www.amazon.in/dp/B07F1B5G82,,,,,,,,,,,
B08H7D3W49,Kapiva Aloe Vera + Garcinia Juice - 1L,Weight Management,⏳ Not Found,https://www.amazon.in/dp/B08H7D3W49,,,,,,,,,,,
B0BNAPPLE1,Kapiva Himalayan Apple Cider Vinegar with Mother - 500ml,Weight Management,⏳ Not Found,https://www.amazon.in/dp/B0BNAPPLE1,,,,,,,,,,,
B0C7SHATAV,Kapiva Her Foods Shatavari Balance Drink Pack of 2 - 2L,Women's Wellness,⏳ Not Found,https://www.amazon.in/dp/B0C7SHATAV,,,,,,,,,,,
